Ano,Mês,Ano Mês,Dias com Precipitação,Precipitação,Pressão,Temperatura,Vento Máx,Vento Méd,Residencial,Industrial,Comercial,Rural,Poder Público,Iluminação Pública,Serviço Público,Consumo Próprio,Consumo,Consumo Médio,Rlin
2013,11,2013-11,11.162162162162161,183.5081081081081,975.0955629189191,20.895210405405404,9.92162162162162,3.3828581351351352,428509.0,31793.0,61509.0,942057.0,55611.0,628337.0,221771.0,55061.0,2424648.0,2482008.0472361105,2477207.5363595197
2013,12,2013-12,9.027027027027026,106.61081081081082,974.8606020810812,23.409348621621618,9.451351351351352,2.773568540540541,462041.0,16931.0,62586.0,882819.0,59788.0,650726.0,315681.0,53939.0,2504511.0,2482008.0472361105,2477395.7916880134
2014,01,2014-01,13.756756756756756,179.22702702702708,976.2934466216216,24.359741540540547,9.983783783783782,2.7094719729729726,517818.0,28044.0,63588.0,769797.0,59945.0,831825.0,488857.0,59140.0,2819014.0,2482008.0472361105,2477584.047016507
2014,02,2014-02,13.35135135135135,196.66486486486488,976.9534509999999,24.195675405405403,9.94864864864865,2.894209540540541,569657.0,30195.0,59129.0,887839.0,66783.0,891398.0,481344.0,61541.0,3047886.0,2482008.0472361105,2477772.302345001
2014,03,2014-03,13.675675675675675,188.81081081081075,977.5795770540539,20.98534291891892,8.621621621621621,2.509988945945946,488594.0,30726.0,62343.0,882017.0,59319.0,726416.0,375298.0,57550.0,2682263.0,2482008.0472361105,2477960.557673495
2014,04,2014-04,10.972972972972974,114.64324324324325,980.1989370810813,19.326856918918917,9.264864864864865,2.657404135135135,458897.0,38224.0,59556.0,883882.0,58055.0,650553.0,290107.0,55742.0,2495016.0,2482008.0472361105,2478148.8130019885
2014,05,2014-05,15.837837837837839,143.27567567567564,980.668281891892,15.761502756756757,9.189189189189188,2.180386783783784,430601.0,32959.0,64831.0,883613.0,54862.0,645011.0,262390.0,57290.0,2431557.0,2482008.0472361105,2478337.0683304826
2014,06,2014-06,15.45945945945946,197.0918918918919,980.8351495135136,14.74756427027027,9.464864864864866,2.680055459459459,388584.0,29688.0,60849.0,861971.0,53058.0,651273.0,236852.0,54138.0,2336413.0,2482008.0472361105,2478525.3236589762
2014,07,2014-07,12.864864864864865,148.79459459459457,983.148958054054,14.3824372972973,9.3,2.634768405405405,397068.0,27614.0,61222.0,846990.0,53371.0,705415.0,230848.0,56177.0,2378705.0,2482008.0472361105,2478713.57898747
2014,08,2014-08,12.513513513513514,97.87567567567571,981.9025807297296,15.29262394594595,9.154054054054056,2.6950176756756763,411559.0,36331.0,65438.0,902429.0,54339.0,691800.0,234536.0,57341.0,2453773.0,2482008.0472361105,2478901.834315964
2014,09,2014-09,14.621621621621621,212.7243243243243,978.9540417567569,17.183328216216218,10.178378378378378,3.163553378378378,404064.0,32677.0,61954.0,900488.0,54670.0,659554.0,229443.0,54373.0,2397223.0,2482008.0472361105,2479090.0896444577
2014,10,2014-10,11.702702702702704,184.80540540540542,979.2776167027027,19.93962654054054,11.051351351351354,3.163801054054054,420819.0,35718.0,64372.0,895841.0,64279.0,647746.0,230584.0,55977.0,2415336.0,2482008.0472361105,2479278.3449729513
2014,11,2014-11,10.783783783783784,106.34054054054054,977.0481970270272,21.35101451351352,9.132432432432434,2.825834729729729,468809.0,31227.0,61688.0,903064.0,60740.0,682977.0,260329.0,57386.0,2526220.0,2482008.0472361105,2479466.600301445
2014,12,2014-12,13.54054054054054,202.72432432432427,976.1118303243245,22.520197621621623,9.891891891891891,2.8156421891891887,500347.0,19754.0,65057.0,856906.0,65810.0,732913.0,356316.0,57087.0,2654190.0,2482008.0472361105,2479654.855629939
2015,01,2015-01,15.54054054054054,208.25945945945944,977.2689059729728,23.39522621621622,9.65945945945946,2.547067378378378,518489.0189999999,37768.64,63949.14,728981.399,59309.14000000001,831555.7109999999,418425.945,60446.314999999995,2718925.3089999994,2482008.0472361105,2479843.110958433
2015,02,2015-02,12.432432432432432,119.29189189189188,976.9162117837838,23.065435648648634,7.929729729729731,2.4743725675675674,514720.99999999994,22036.0,58151.0,861069.3,58958.0,781701.0,458052.0,57642.0,2812330.3,2482008.0472361105,2480031.3662869264
2015,03,2015-03,10.891891891891891,84.48648648648651,978.3031761891889,22.22246437837838,7.475675675675678,2.441457972972974,499955.9999999999,31744.0,61264.0,845153.0,63154.99999999999,735225.0,418233.0,56275.0,2711005.0,2482008.0472361105,2480219.6216154206
2015,04,2015-04,10.945945945945946,100.62702702702704,980.0434640270269,19.710465810810813,8.072972972972973,2.330286783783784,483143.0,29988.0,65688.0,908476.6,62471.99999999999,678192.9999999999,342563.0,59131.0,2629654.6,2482008.0472361105,2480407.876943914
2015,05,2015-05,12.35135135135135,149.66486486486488,981.4186384864865,17.03837624324325,9.127027027027026,2.475040081081081,417410.0,35344.0,63605.0,860409.3,53220.00000000001,619191.0,264653.0,55910.0,2369742.3,2482008.0472361105,2480596.132272408
